Expert_ID,Q_ID,SPP_ID,Q5th,Q50th,Q95th
7,1A,15,300,450,500
8,1A,15,400,600,700
9,1A,15,500,650,800
10,1A,15,500,550,700
11,1A,15,400,650,700
12,1A,15,500,550,700
13,1A,15,600,700,800
14,1A,15,300,400,570
16,1A,15,700,800,1000
17,1A,15,300,450,500
1,1A,16,1450,1500,1650
2,1A,16,500,700,800
3,1A,16,1000,1050,2228
4,1A,16,800,900,1000
5,1A,16,800,820,1000
6,1A,16,700,800,1000
8,1A,16,700,800,1200
9,1A,16,1000,1100,1200
10,1A,16,700,800,1000
11,1A,16,800,900,1000
12,1A,16,800,811,950
13,1A,16,700,800,900
16,1A,16,800,1000,1100
17,1A,16,1200,1350,1600
1,1A,17,1650,1680,1700
2,1A,17,1400,1650,1700
3,1A,17,1000,1250,2228
4,1A,17,1800,1875,1950
5,1A,17,1600,1650,1700
6,1A,17,1800,1800,1850
7,1A,17,1500,1650,1750
8,1A,17,1300,1600,1700
9,1A,17,1500,1550,1600
10,1A,17,1800,1800,1850
11,1A,17,1600,1750,1900
12,1A,17,1800,1850,1950
13,1A,17,1600,1700,1800
14,1A,17,1550,1600,1900
15,1A,17,1600,1700,1800
16,1A,17,1500,1700,1800
17,1A,17,1500,1650,1700
1,1A,19,1500,1650,1700
2,1A,19,1325,1400,1460
3,1A,19,1450,1500,1500
4,1A,19,1450,1500,1550
5,1A,19,1400,1500,1800
6,1A,19,1300,1450,1500
7,1A,19,1300,1400,1500
8,1A,19,1500,1550,1700
9,1A,19,1400,1500,1600
10,1A,19,1300,1450,1500
11,1A,19,1400,1500,1600
12,1A,19,1400,1500,1600
13,1A,19,1450,1500,1600
14,1A,19,1450,1452,1470
15,1A,19,1500,1600,1700
16,1A,19,1450,1500,1550
17,1A,19,1390,1452,1500
2,1A,20,1150,1250,1400
3,1A,20,900,1200,1600
4,1A,20,800,1500,1600
5,1A,20,1400,1450,1600
6,1A,20,700,1000,1400
7,1A,20,900,1050,1200
8,1A,20,500,600,800
9,1A,20,900,1100,1200
10,1A,20,800,1400,1600
11,1A,20,800,900,1000
12,1A,20,1000,1600,1650
13,1A,20,800,1600,1700
14,1A,20,1000,1400,1450
15,1A,20,1600,1700,1800
16,1A,20,1000,1500,1600
17,1A,20,900,1000,1100
5,1A,21,1600,1600,1800
7,1A,21,1500,1600,1700
9,1A,21,1500,1600,1650
11,1A,21,1600,1700,1750
13,1A,21,1550,1600,1650
17,1A,21,1600,1650,1800
1,1A,22,600,800,900
2,1A,22,5,15,50
3,1A,22,0,100,1800
4,1A,22,0,10,200
5,1A,22,0,10,50
6,1A,22,0,1,2
7,1A,22,0,0,20
8,1A,22,0,10,50
9,1A,22,50,200,500
10,1A,22,0,1,2
11,1A,22,5,10,20
12,1A,22,0,50,100
13,1A,22,10,50,100
14,1A,22,0,0,10
16,1A,22,5,30,50
17,1A,22,1,2,10
5,1A,23,900,1000,1200
9,1A,23,1000,1100,1300
13,1A,23,0,5,10
17,1A,23,1100,1200,1500
5,1A,24,900,1125,1150
7,1A,24,900,1000,1100
9,1A,24,1000,1050,1100
13,1A,24,950,1050,1100
17,1A,24,900,1000,1100
1,1A,25,1090,1100,1150
2,1A,25,850,900,1000
3,1A,25,800,900,1100
4,1A,25,900,950,1100
5,1A,25,900,1000,1100
6,1A,25,1000,1000,1200
7,1A,25,900,1000,1100
8,1A,25,700,1000,1100
9,1A,25,1000,1050,1100
10,1A,25,950,1000,1200
11,1A,25,850,1000,1100
12,1A,25,900,1000,1050
13,1A,25,850,900,1000
14,1A,25,800,900,1000
16,1A,25,500,800,900
17,1A,25,900,1000,1100
4,1A,26,1250,1450,1550
8,1A,26,800,900,1000
1,1A,27,750,1050,1100
3,1A,27,750,1100,1150
4,1A,27,900,1000,1200
5,1A,27,750,1050,1100
6,1A,27,900,900,1200
8,1A,27,900,1000,1100
9,1A,27,1000,1050,1100
10,1A,27,900,1000,1200
11,1A,27,900,1100,1300
12,1A,27,800,950,1000
13,1A,27,900,1050,1100
15,1A,27,750,925,1100
16,1A,27,800,1050,1100
17,1A,27,750,850,1000
2,1A,28,1000,1050,1100
3,1A,28,700,800,1100
4,1A,28,850,875,900
5,1A,28,900,1047,1100
6,1A,28,1000,1047,1100
7,1A,28,900,1050,1100
8,1A,28,900,1000,1100
9,1A,28,1100,1150,1200
10,1A,28,1000,1047,1100
11,1A,28,800,1000,1100
12,1A,28,950,1020,1120
13,1A,28,1000,1050,1100
14,1A,28,950,1050,1150
15,1A,28,1047,1273.5,1500
16,1A,28,900,1047,1100
17,1A,28,900,1047,1150
4,1A,29,1350,1400,1420
8,1A,29,1200,1450,1600
14,1A,29,1407,1561,1600
1,1A,30,700,1000,1100
2,1A,30,600,800,1000
3,1A,30,800,900,1100
4,1A,30,800,950,1000
5,1A,30,1000,1050,1100
6,1A,30,800,1000,1100
7,1A,30,600,850,1000
8,1A,30,800,1000,1200
9,1A,30,800,900,1100
10,1A,30,800,1000,1100
11,1A,30,700,900,1100
12,1A,30,950,960,1000
13,1A,30,900,1000,1200
14,1A,30,800,960,1050
16,1A,30,800,900,1100
17,1A,30,850,960,1050
1,1A,31,900,1000,1200
2,1A,31,1200,1350,1450
3,1A,31,850,1000,1100
4,1A,31,900,1000,1100
5,1A,31,800,850,1000
6,1A,31,900,1000,1300
7,1A,31,1000,1400,1600
8,1A,31,750,800,950
9,1A,31,1000,1000,1200
10,1A,31,900,1000,1300
11,1A,31,1200,1400,1600
12,1A,31,900,1000,1200
13,1A,31,800,900,1000
14,1A,31,1300,1450,1600
16,1A,31,1000,1300,1500
17,1A,31,1450,1500,1600
1,1A,32,1200,1300,1500
2,1A,32,900,1050,1200
3,1A,32,1000,1100,1380
4,1A,32,1000,1300,1400
5,1A,32,1200,1350,1400
6,1A,32,1000,1300,1400
7,1A,32,900,1100,1300
8,1A,32,900,1000,1100
9,1A,32,1300,1450,1500
10,1A,32,1000,1300,1400
11,1A,32,850,1000,1100
12,1A,32,1200,1381,1390
13,1A,32,1200,1400,1500
14,1A,32,950,1050,1100
15,1A,32,1300,1350,1400
16,1A,32,1000,1300,1400
17,1A,32,850,1000,1100
2,1A,33,650,750,800
3,1A,33,1500,1600,2228
4,1A,33,1100,1180,1300
5,1A,33,700,780,800
6,1A,33,600,780,800
7,1A,33,650,750,850
8,1A,33,1150,1200,1250
9,1A,33,680,750,780
10,1A,33,600,780,800
11,1A,33,600,750,800
12,1A,33,650,780,800
13,1A,33,650,780,850
14,1A,33,700,800,1000
15,1A,33,500,780,1000
17,1A,33,650,750,800
1,1A,34,5,50,200
2,1A,34,1,10,20
3,1A,34,1000,1100,1800
4,1A,34,0,400,1000
5,1A,34,0,2,5
6,1A,34,0,100,1000
7,1A,34,0,5,100
8,1A,34,300,450,500
9,1A,34,100,200,300
10,1A,34,0,100,1000
11,1A,34,1,1,100
12,1A,34,0,50,125
13,1A,34,0,10,50
14,1A,34,0,0,0
16,1A,34,2,10,30
17,1A,34,3,5,20
3,1A,35,700,750,1030
4,1A,35,300,350,400
5,1A,35,700,760,900
6,1A,35,900,1000,1100
8,1A,35,900,1100,1200
9,1A,35,400,500,600
13,1A,35,700,800,900
1,1A,36,750,800,900
2,1A,36,700,750,800
3,1A,36,600,750,800
4,1A,36,700,750,800
5,1A,36,600,750,800
6,1A,36,600,760,850
7,1A,36,600,750,1000
8,1A,36,600,900,1000
9,1A,36,600,750,1040
10,1A,36,600,760,850
11,1A,36,600,750,800
12,1A,36,600,700,800
13,1A,36,600,760,1000
14,1A,36,650,750,780
16,1A,36,650,750,850
17,1A,36,600,700,800
4,1A,37,1000,1070,1100
6,1A,37,600,700,900
8,1A,37,1500,1600,1700
5,1B,1,0,5,20
7,1B,1,0,10,100
9,1B,1,0,100,200
11,1B,1,10,40,100
13,1B,1,0,10,20
17,1B,1,0,1,50
1,1B,2,1600,1700,1800
2,1B,2,1400,1500,1600
3,1B,2,550,580,607
4,1B,2,1820,1850,1900
5,1B,2,1300,1450,1500
6,1B,2,1200,1600,1700
7,1B,2,1300,1550,1650
8,1B,2,700,1000,1700
9,1B,2,1500,1650,1700
10,1B,2,1200,1400,1600
11,1B,2,1300,1450,1550
12,1B,2,1500,1700,1900
13,1B,2,1350,1400,1500
14,1B,2,1400,1500,1600
16,1B,2,1400,1800,1900
17,1B,2,1400,1500,1600
1,1B,3,600,700,800
2,1B,3,100,150,250
3,1B,3,150,250,600
4,1B,3,100,150,300
5,1B,3,100,175,300
6,1B,3,50,150,250
8,1B,3,100,150,300
9,1B,3,800,900,1000
10,1B,3,50,150,200
11,1B,3,150,250,400
12,1B,3,100,150,250
13,1B,3,100,150,200
16,1B,3,100,150,180
3,1B,4,850,950,1000
4,1B,4,1000,1050,1200
5,1B,4,850,950,1150
6,1B,4,750,900,1100
8,1B,4,500,600,650
9,1B,4,800,1000,1200
13,1B,4,0,10,50
1,1B,5,900,1200,1300
2,1B,5,0,15,50
3,1B,5,1000,1100,1800
4,1B,5,0,850,900
5,1B,5,0,5,10
6,1B,5,0,700,1100
7,1B,5,0,0,100
8,1B,5,900,1200,1400
9,1B,5,800,900,1100
10,1B,5,0,700,1200
11,1B,5,400,900,1100
12,1B,5,1,100,500
13,1B,5,0,10,50
14,1B,5,5,20,800
15,1B,5,5,27.5,50
16,1B,5,10,50,500
17,1B,5,10,11,50
3,1B,6,1600,1650,1800
4,1B,6,950,980,1000
5,1B,6,800,950,1550
6,1B,6,1200,1300,1400
8,1B,6,850,1100,1400
9,1B,6,700,1000,1100
1,1B,7,450,650,900
2,1B,7,5,30,50
3,1B,7,50,150,1100
4,1B,7,0,500,1120
5,1B,7,0,20,100
6,1B,7,100,200,300
7,1B,7,0,0,100
8,1B,7,0,5,100
9,1B,7,0,100,200
10,1B,7,100,200,300
11,1B,7,500,750,800
12,1B,7,1,20,200
13,1B,7,50,100,500
14,1B,7,0,50,800
16,1B,7,5,100,200
17,1B,7,10,50,100
1,1B,8,850,950,1050
2,1B,8,700,1000,1400
3,1B,8,1200,1700,1800
4,1B,8,1300,1800,2200
5,1B,8,650,850,950
6,1B,8,700,1500,1600
7,1B,8,600,800,900
8,1B,8,1200,1400,1500
9,1B,8,1500,1600,1700
10,1B,8,1000,1500,1600
11,1B,8,850,900,1300
12,1B,8,1200,1400,1500
13,1B,8,900,1050,1300
14,1B,8,600,800,1100
16,1B,8,800,900,950
17,1B,8,600,800,1000
5,1B,9,0,20,50
7,1B,9,0,0,50
9,1B,9,50,100,200
11,1B,9,10,100,150
17,1B,9,50,100,200
1,1B,10,1100,1200,1300
2,1B,10,1450,1700,1850
3,1B,10,850,950,1550
4,1B,10,1000,1180,1200
5,1B,10,1050,1100,1150
6,1B,10,1000,1200,1400
7,1B,10,1500,1600,1700
8,1B,10,950,1050,1100
9,1B,10,1000,1050,1100
10,1B,10,1000,1200,1300
11,1B,10,1500,1650,1750
12,1B,10,950,1000,1100
13,1B,10,900,1050,2000
14,1B,10,500,1300,1800
16,1B,10,1050,1100,1150
17,1B,10,1650,1700,1850
2,1B,12,1000,1050,1100
3,1B,12,750,850,1300
4,1B,12,840,920,980
5,1B,12,750,850,959
6,1B,12,1000,1000,1200
7,1B,12,850,1050,1150
8,1B,12,900,1150,1300
9,1B,12,900,1000,1100
10,1B,12,1000,1000,1200
11,1B,12,700,950,1000
12,1B,12,960,1000,1100
13,1B,12,800,900,1000
14,1B,12,700,960,1050
16,1B,12,900,1030,1100
17,1B,12,900,960,1200
5,1B,14,0,1,10
7,1B,14,0,0,50
9,1B,14,1100,1150,1200
11,1B,14,10,20,50
13,1B,14,0,5,10
17,1B,14,0,1,100
1,1B,15,500,700,1000
2,1B,15,400,450,500
3,1B,15,550,550,1100
4,1B,15,790,850,900
5,1B,15,500,600,750
6,1B,15,550,700,700
7,1B,15,300,450,600
8,1B,15,500,550,650
9,1B,15,600,650,700
10,1B,15,550,700,700
11,1B,15,500,650,800
12,1B,15,550,600,750
13,1B,15,600,700,800
14,1B,15,300,400,570
16,1B,15,700,850,1000
17,1B,15,300,450,500
1,1B,16,1500,1650,1700
2,1B,16,600,700,800
3,1B,16,1050,1100,2228
4,1B,16,1000,1150,1175
5,1B,16,850,870,1050
6,1B,16,700,800,1000
8,1B,16,700,800,1200
9,1B,16,1000,1100,1200
10,1B,16,700,800,1000
11,1B,16,850,950,1000
12,1B,16,900,950,1000
13,1B,16,700,800,900
16,1B,16,800,1000,1100
17,1B,16,1250,1350,1650
1,1B,17,1650,1680,1700
2,1B,17,1400,1650,1700
3,1B,17,1100,1350,2228
4,1B,17,1850,1890,1975
5,1B,17,1600,1650,1700
6,1B,17,1800,1800,1850
7,1B,17,1500,1650,1850
8,1B,17,1300,1600,1700
9,1B,17,1500,1550,1600
10,1B,17,1800,1800,1850
11,1B,17,1600,1750,1900
12,1B,17,1850,1900,2000
13,1B,17,1600,1700,1800
14,1B,17,1550,1600,1900
15,1B,17,1600,1700,1800
16,1B,17,1500,1700,1850
17,1B,17,1500,1650,1700
1,1B,19,1550,1680,1750
2,1B,19,1325,1400,1460
3,1B,19,1500,1525,1550
4,1B,19,1475,1570,1600
5,1B,19,1450,1550,1850
6,1B,19,1400,1600,1700
7,1B,19,1300,1400,1600
8,1B,19,1500,1550,1700
9,1B,19,1400,1500,1600
10,1B,19,1400,1600,1700
11,1B,19,1400,1500,1700
12,1B,19,1500,1600,1700
13,1B,19,1500,1520,1600
14,1B,19,1450,1452,1600
15,1B,19,1600,1675,1750
16,1B,19,1450,1580,1650
17,1B,19,1400,1500,1600
2,1B,20,1150,1250,1400
3,1B,20,1000,1300,1600
4,1B,20,1000,1550,1600
5,1B,20,1450,1500,1650
6,1B,20,900,1400,1500
7,1B,20,900,1050,1200
8,1B,20,600,750,800
9,1B,20,900,1100,1200
10,1B,20,1000,1600,1800
11,1B,20,900,900,1100
12,1B,20,1000,1600,1650
13,1B,20,800,1600,1700
14,1B,20,1200,1400,1600
16,1B,20,1000,1500,1650
17,1B,20,1000,1050,1200
5,1B,21,1650,1650,1850
7,1B,21,1500,1600,1800
9,1B,21,1550,1650,1700
11,1B,21,1600,1700,1750
13,1B,21,1550,1600,1650
17,1B,21,1650,1700,1800
1,1B,22,700,800,950
2,1B,22,5,50,150
3,1B,22,0,150,1800
4,1B,22,50,400,500
5,1B,22,0,10,50
6,1B,22,0,200,300
7,1B,22,0,0,20
8,1B,22,0,5,50
9,1B,22,50,200,400
10,1B,22,0,200,300
11,1B,22,5,10,100
12,1B,22,0,50,100
13,1B,22,10,50,150
14,1B,22,0,0,10
16,1B,22,5,30,80
17,1B,22,10,100,200
5,1B,23,950,1050,1250
9,1B,23,1200,1250,1300
13,1B,23,0,5,10
17,1B,23,1150,1200,1500
5,1B,24,950,1200,1200
7,1B,24,950,1050,1150
9,1B,24,1100,1150,1200
13,1B,24,100,1100,1150
17,1B,24,950,1100,1300
1,1B,25,1100,1150,1250
2,1B,25,950,1025,1100
3,1B,25,850,950,1150
4,1B,25,950,975,1100
5,1B,25,1000,1100,1100
6,1B,25,1100,1200,1400
7,1B,25,1000,1000,1200
8,1B,25,800,1100,1200
9,1B,25,1000,1100,1150
10,1B,25,1100,1200,1400
11,1B,25,950,1150,1350
12,1B,25,950,1050,1100
13,1B,25,900,950,1050
14,1B,25,900,1000,1200
15,1B,25,1150,1200,1250
16,1B,25,700,1000,1100
17,1B,25,950,1100,1300
4,1B,26,1300,1490,1580
8,1B,26,800,900,1000
1,1B,27,950,1150,1250
3,1B,27,775,1125,1150
4,1B,27,1660,1860,1920
5,1B,27,800,1100,1150
6,1B,27,950,1050,1200
8,1B,27,1000,1150,1200
9,1B,27,1000,1100,1200
10,1B,27,950,1050,1200
11,1B,27,950,1100,1350
12,1B,27,850,1000,1050
13,1B,27,900,1050,1100
15,1B,27,800,1000,1200
16,1B,27,800,1150,1300
17,1B,27,800,900,1050
2,1B,28,1000,1050,1100
3,1B,28,750,850,1100
4,1B,28,875,950,1000
5,1B,28,900,1047,1100
6,1B,28,1000,1000,1300
7,1B,28,900,1050,1100
8,1B,28,900,1100,1100
9,1B,28,1100,1150,1200
10,1B,28,1000,1000,1300
11,1B,28,800,1000,1100
12,1B,28,1000,1100,1200
13,1B,28,1000,1050,1100
14,1B,28,950,1050,1150
15,1B,28,1000,1250,1500
16,1B,28,900,1047,1150
17,1B,28,1000,1070,1150
4,1B,29,900,980,1100
8,1B,29,1200,1450,1600
14,1B,29,1600,1650,1700
1,1B,30,800,1100,1300
2,1B,30,700,950,1200
3,1B,30,900,1000,1300
4,1B,30,800,1100,1200
5,1B,30,1050,1100,1150
6,1B,30,1000,1100,1200
7,1B,30,600,850,1000
8,1B,30,900,1100,1300
9,1B,30,900,1000,1300
10,1B,30,1000,1100,1200
11,1B,30,800,900,1100
13,1B,30,950,1050,1200
16,1B,30,800,950,1200
17,1B,30,850,960,1100
1,1B,31,800,850,1100
2,1B,31,1300,1350,1450
3,1B,31,900,1050,1150
4,1B,31,940,1030,1100
5,1B,31,850,900,1050
6,1B,31,900,1000,1300
7,1B,31,1000,1400,1600
8,1B,31,800,900,1000
9,1B,31,1000,1000,1200
10,1B,31,900,1000,1300
11,1B,31,1200,1400,1600
12,1B,31,1000,1100,1300
13,1B,31,800,900,1000
14,1B,31,1300,1450,1600
16,1B,31,1300,1500,1600
17,1B,31,1450,1550,1650
1,1B,32,1250,1350,1550
2,1B,32,1000,1200,1300
3,1B,32,1100,1200,1480
4,1B,32,1000,1070,1200
5,1B,32,1250,1400,1450
6,1B,32,1200,1500,1600
7,1B,32,900,1200,1400
8,1B,32,1200,1250,1400
9,1B,32,1450,1500,1550
10,1B,32,1200,1500,1600
11,1B,32,950,1100,1200
12,1B,32,1380,1450,1500
13,1B,32,1200,1450,1500
14,1B,32,1100,1200,1300
15,1B,32,1350,1375,1400
16,1B,32,1000,1350,1470
17,1B,32,900,1100,1300
2,1B,33,650,750,800
3,1B,33,1700,1750,2228
4,1B,33,1200,1220,1300
5,1B,33,750,820,850
6,1B,33,800,900,1000
7,1B,33,650,750,850
8,1B,33,1300,1350,1400
9,1B,33,700,750,800
10,1B,33,800,900,1000
11,1B,33,600,800,900
12,1B,33,650,780,800
13,1B,33,650,780,850
15,1B,33,500,1450,1500
17,1B,33,650,750,800
1,1B,34,50,200,2100
2,1B,34,1,10,20
3,1B,34,1050,1150,1800
4,1B,34,0,750,1000
5,1B,34,0,2,5
6,1B,34,0,100,1000
7,1B,34,0,5,100
8,1B,34,350,450,550
9,1B,34,100,200,300
10,1B,34,0,100,1000
11,1B,34,1,30,100
12,1B,34,0,50,125
13,1B,34,0,10,50
14,1B,34,30,900,1400
15,1B,34,0,725,1450
16,1B,34,2,10,30
17,1B,34,3,5,20
3,1B,35,750,800,1030
4,1B,35,330,400,450
5,1B,35,700,760,900
6,1B,35,700,1100,1200
8,1B,35,1000,1200,1250
9,1B,35,400,500,600
13,1B,35,700,800,900
1,1B,36,800,950,1000
2,1B,36,700,750,800
3,1B,36,620,770,820
4,1B,36,900,1000,1100
5,1B,36,600,750,800
6,1B,36,700,970,1000
7,1B,36,600,750,1000
8,1B,36,900,950,1100
9,1B,36,600,750,1040
10,1B,36,700,970,1000
11,1B,36,700,850,1000
12,1B,36,700,800,900
13,1B,36,600,760,1000
14,1B,36,750,800,900
16,1B,36,650,750,1000
17,1B,36,650,750,900
4,1B,37,1020,1080,1100
6,1B,37,500,750,1000
8,1B,37,1600,1680,1700
5,2A,1,1800,1950,2000
7,2A,1,1800,1900,2100
9,2A,1,1400,1600,1800
11,2A,1,1850,1900,1950
13,2A,1,1900,1900,2100
17,2A,1,1750,1800,1900
1,2A,2,1850,1900,1910
2,2A,2,2150,2200,2200
3,2A,2,2000,2050,2100
4,2A,2,1900,2000,2200
5,2A,2,1900,1950,2200
6,2A,2,1900,2000,2100
7,2A,2,2100,2150,2228
8,2A,2,1900,2100,2200
9,2A,2,2000,2200,2228
10,2A,2,1900,2100,2200
11,2A,2,2000,2100,2200
12,2A,2,2000,2150,2200
13,2A,2,2150,2200,2228
14,2A,2,2100,2200,2228
16,2A,2,1900,2150,2200
17,2A,2,2100,2190,2200
1,2A,3,1100,1300,1500
2,2A,3,1270,1270,1270
3,2A,3,800,950,1030
4,2A,3,1100,1249,1250
5,2A,3,1200,1265,1270
6,2A,3,1200,1200,1200
8,2A,3,900,1270,1400
9,2A,3,1600,1700,1800
10,2A,3,1249,1250,1269
11,2A,3,1200,1250,1270
12,2A,3,1200,1250,1270
13,2A,3,1100,1150,1200
16,2A,3,1240,1260,1270
3,2A,4,900,950,1000
4,2A,4,1300,1350,1400
5,2A,4,1100,1300,1600
6,2A,4,1100,1300,1600
8,2A,4,1500,1550,1600
9,2A,4,1300,1400,1500
13,2A,4,1000,1100,1150
1,2A,5,1750,1900,2100
2,2A,5,1900,2000,2100
3,2A,5,1500,2000,2100
4,2A,5,1950,2050,2100
5,2A,5,1200,2050,2200
6,2A,5,1400,1900,2200
7,2A,5,1900,2100,2200
8,2A,5,1800,1900,2000
9,2A,5,1600,1900,2100
10,2A,5,1500,2000,2228
11,2A,5,1850,1900,2100
12,2A,5,1900,2000,2100
13,2A,5,2000,2100,2200
14,2A,5,1900,2100,2200
16,2A,5,1900,2000,2100
17,2A,5,1800,1900,2100
3,2A,6,1450,1650,1800
4,2A,6,1700,1750,1800
5,2A,6,1400,1800,2200
6,2A,6,1700,1750,1900
8,2A,6,1800,1860,1900
9,2A,6,1300,1400,1500
1,2A,7,750,1050,1100
2,2A,7,1050,1150,1300
3,2A,7,850,1100,1250
4,2A,7,1000,1100,1100
5,2A,7,1100,1250,1300
7,2A,7,1000,1100,1250
8,2A,7,800,1100,1200
9,2A,7,800,1100,1200
10,2A,7,1000,1100,1200
11,2A,7,1000,1100,1250
12,2A,7,1050,1100,1200
13,2A,7,900,1100,1200
14,2A,7,1050,1100,1250
16,2A,7,1050,1100,1250
17,2A,7,1100,1150,1250
1,2A,8,1800,2050,2150
2,2A,8,2000,2100,2200
3,2A,8,1800,2100,2228
4,2A,8,1900,2200,2220
5,2A,8,1800,2228,2250
6,2A,8,2226,2227,2228
7,2A,8,1950,2100,2228
8,2A,8,1700,2000,2200
9,2A,8,1700,2200,2228
10,2A,8,2226,2227,2228
11,2A,8,2000,2100,2200
12,2A,8,2150,2227,2228
13,2A,8,2200,2225,2228
14,2A,8,1960,2100,2228
16,2A,8,2000,2150,2200
17,2A,8,1950,2100,2220
5,2A,9,1900,1950,2100
7,2A,9,1800,1950,2100
9,2A,9,1600,1800,1900
11,2A,9,1600,1800,1900
17,2A,9,1900,1950,2100
1,2A,10,2100,2150,2220
2,2A,10,1700,1800,1900
3,2A,10,2100,2150,2200
4,2A,10,1450,1580,1600
5,2A,10,1800,1900,1970
6,2A,10,1800,1900,1950
7,2A,10,1600,1800,2000
8,2A,10,2000,2050,2200
9,2A,10,1800,1900,1980
10,2A,10,1800,1900,1950
11,2A,10,1800,1900,2000
12,2A,10,1900,1970,2000
13,2A,10,1850,1950,2000
14,2A,10,1700,1750,1850
16,2A,10,1920,1950,1980
17,2A,10,1750,1800,1900
1,2A,12,1200,1300,1500
2,2A,12,1200,1300,1350
3,2A,12,900,1200,1300
4,2A,12,1200,1320,1350
5,2A,12,1200,1300,1400
6,2A,12,1300,1300,1400
7,2A,12,1200,1300,1400
8,2A,12,1100,1300,1300
9,2A,12,1300,1350,1400
10,2A,12,1300,1300,1400
11,2A,12,1200,1300,1350
12,2A,12,1200,1300,1500
13,2A,12,1200,1300,1350
14,2A,12,1000,1200,1300
16,2A,12,1250,1300,1350
